epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.694,1.2467,1.5369,1.15777,0.8265,0.63318,0.70626,0.33554,1.60315,1.1285,1.1775,0.00333124,0.00333124,0.00333124
2,590.217,1.25234,0.80465,1.14218,0.77192,0.63636,0.6846,0.31027,1.71355,1.1083,1.21046,0.00659859,0.00659859,0.00659859
3,865.017,1.2939,0.798,1.17925,0.71968,0.54349,0.57489,0.24966,1.85466,1.27449,1.3247,0.00979995,0.00979995,0.00979995
4,1135.44,1.28564,0.76816,1.19468,0.73277,0.62232,0.63875,0.28592,1.74061,1.14191,1.27903,0.009703,0.009703,0.009703
5,1409.41,1.2549,0.72475,1.18399,0.77436,0.64654,0.68886,0.33688,1.62034,1.01803,1.23629,0.009604,0.009604,0.009604
6,1678.66,1.23405,0.68503,1.17421,0.81713,0.65671,0.72441,0.34837,1.63341,1.01294,1.22606,0.009505,0.009505,0.009505
7,1947.16,1.21897,0.65752,1.16461,0.8034,0.65988,0.71802,0.34641,1.63138,0.98824,1.21009,0.009406,0.009406,0.009406
8,2210.56,1.20892,0.63819,1.15822,0.81562,0.65804,0.71865,0.36048,1.55734,0.95354,1.20545,0.009307,0.009307,0.009307
9,2471.07,1.19506,0.6262,1.15007,0.81716,0.66497,0.74773,0.377,1.56204,0.9303,1.18441,0.009208,0.009208,0.009208
10,2743.61,1.18922,0.61455,1.1387,0.82784,0.69676,0.75084,0.37863,1.56327,0.91998,1.1707,0.009109,0.009109,0.009109
11,3014.53,1.18146,0.60236,1.1367,0.84503,0.71329,0.78262,0.39158,1.53255,0.87225,1.16545,0.00901,0.00901,0.00901
12,3287.62,1.17445,0.59141,1.12688,0.84097,0.726,0.7816,0.39991,1.49717,0.84918,1.14287,0.008911,0.008911,0.008911
13,3552.62,1.16814,0.58191,1.12961,0.85318,0.73146,0.79613,0.40568,1.49092,0.81766,1.16242,0.008812,0.008812,0.008812
14,3823.73,1.16119,0.57847,1.12415,0.86253,0.72791,0.79661,0.40878,1.48958,0.81923,1.1492,0.008713,0.008713,0.008713
15,4093.5,1.16,0.57311,1.12325,0.84452,0.74444,0.79396,0.40478,1.48927,0.8092,1.15305,0.008614,0.008614,0.008614
16,4367.13,1.15494,0.56718,1.12099,0.84249,0.75079,0.79441,0.4138,1.46913,0.78651,1.14316,0.008515,0.008515,0.008515
17,4646.14,1.14498,0.56164,1.11549,0.85298,0.73935,0.79599,0.41481,1.46861,0.77706,1.13812,0.008416,0.008416,0.008416
18,4902.76,1.14306,0.55286,1.1151,0.86541,0.74634,0.81011,0.4218,1.45929,0.78073,1.13001,0.008317,0.008317,0.008317
19,5174.3,1.1439,0.55415,1.11294,0.86709,0.74762,0.81677,0.42511,1.45665,0.75744,1.1333,0.008218,0.008218,0.008218
20,5442.98,1.13731,0.55008,1.10889,0.86729,0.74444,0.82047,0.43057,1.44038,0.7479,1.11716,0.008119,0.008119,0.008119
21,5704.59,1.13994,0.55007,1.11429,0.85048,0.75578,0.81951,0.43054,1.44794,0.74788,1.12291,0.00802,0.00802,0.00802
22,5979.05,1.13538,0.54213,1.10741,0.86511,0.76246,0.82508,0.43358,1.42885,0.73805,1.11621,0.007921,0.007921,0.007921
23,6246.31,1.12468,0.53798,1.10502,0.84921,0.77689,0.82537,0.43317,1.43308,0.73334,1.12126,0.007822,0.007822,0.007822
24,6517.01,1.12161,0.53391,1.10047,0.85821,0.76732,0.81952,0.43799,1.42483,0.73122,1.11379,0.007723,0.007723,0.007723
25,6793.26,1.12147,0.53117,1.10343,0.8472,0.77368,0.82078,0.43833,1.41875,0.73346,1.11374,0.007624,0.007624,0.007624
26,7066.51,1.12312,0.53044,1.10138,0.85649,0.76643,0.819,0.43838,1.42241,0.73229,1.11186,0.007525,0.007525,0.007525
27,7343.16,1.12215,0.5275,1.09985,0.84874,0.7794,0.8311,0.44233,1.41754,0.71962,1.11313,0.007426,0.007426,0.007426
28,7613.45,1.11431,0.52106,1.09879,0.86498,0.76563,0.82847,0.44383,1.41426,0.71569,1.10877,0.007327,0.007327,0.007327
29,7871.19,1.11141,0.52486,1.09598,0.85524,0.77368,0.82996,0.44641,1.40865,0.71262,1.10618,0.007228,0.007228,0.007228
30,8126.8,1.11278,0.51966,1.09865,0.86111,0.76605,0.8296,0.44547,1.40532,0.70779,1.10655,0.007129,0.007129,0.007129
31,8380.9,1.10712,0.51581,1.09414,0.87043,0.76732,0.83408,0.44943,1.40071,0.70402,1.10523,0.00703,0.00703,0.00703
32,8654,1.10207,0.5115,1.09295,0.85563,0.78385,0.83155,0.45053,1.40064,0.70197,1.10116,0.006931,0.006931,0.006931
33,8939.59,1.10883,0.5141,1.09513,0.84923,0.7878,0.83111,0.45027,1.40111,0.70325,1.10097,0.006832,0.006832,0.006832
34,9272.46,1.10083,0.50771,1.08967,0.85444,0.78258,0.83377,0.45215,1.39756,0.70027,1.09931,0.006733,0.006733,0.006733
35,9589.41,1.10342,0.50841,1.09201,0.85905,0.78269,0.83828,0.45397,1.396,0.70198,1.10088,0.006634,0.006634,0.006634
36,9915.79,1.09706,0.50606,1.08895,0.86074,0.77495,0.83286,0.45358,1.39252,0.70045,1.09958,0.006535,0.006535,0.006535
37,10248.2,1.09834,0.50336,1.0866,0.85113,0.78146,0.83406,0.45302,1.39389,0.70258,1.09949,0.006436,0.006436,0.006436
38,10580,1.09556,0.49914,1.0883,0.84823,0.78067,0.83507,0.45358,1.39376,0.70022,1.09912,0.006337,0.006337,0.006337
39,10917.4,1.08704,0.4982,1.08531,0.84429,0.78258,0.83546,0.4537,1.39357,0.69882,1.09883,0.006238,0.006238,0.006238
